RegistryDate,ExpirationDate,HostCountry,DomainAge,URLType
1996-08-30 04:00:00,2024-08-29 04:00:00,US,8614,0
,,,0,1
,,,0,1
1997-04-10 04:00:00,2027-04-11 04:00:00,IN,8391,0
1996-02-11 05:00:00,2022-02-12 05:00:00,KR,8815,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1997-08-24 04:00:00,2020-08-23 04:00:00,,8255,0
1995-07-16 04:00:00,2021-07-15 04:00:00,US,9025,0
2003-12-26 19:18:07,2021-02-02 11:59:59,US,5939,0
,,,0,0
1995-05-05 04:00:00,2023-05-06 04:00:00,US,9097,0
1993-09-30 04:00:00,2025-09-29 04:00:00,US,9679,0
,,,0,0
1996-09-29 04:00:00,2020-09-28 04:00:00,,8584,0
2004-03-15 23:27:20,2021-03-15 22:27:20,PA,5859,0
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
2005-03-14 18:41:22,2021-03-14 17:41:22,US,5495,0
2019-04-10 02:25:01,2020-04-10 02:25:01,REDACTED FOR PRIVACY,356,1
2000-08-24 04:46:13,2020-08-24 04:46:13,US,7159,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,2028-06-17 00:00:00,,0,0
,,,0,0
2010-01-30 20:44:17,2021-01-30 20:44:17,,3712,1
2014-07-05 18:43:20,2021-07-05 18:43:20,US,2095,1
2005-06-10 22:56:20,2021-06-10 22:56:20,US,5407,0
